za_nr,doi,version,year,rgs_land,gkz,entity,level,election_dummy,election_last,east,name,inh_sqkm2,rat,rat_women,rat_cdu_seats,rat_spd_seats,rat_green_seats,rat_fdp_seats,rat_pds_seats,rat_others_seats,rat_group_seats
5990,doi:10.4232/1.12969,1.0.1 (2018-01-24),2016,6,431002,,4,1,2011,0,Bensheim,678,45,14,15,8,7,3,0,6,6
5990,doi:10.4232/1.12970,1.0.1 (2018-01-24),2011,6,431010,1861,4,1,2006,0,Groß-Rohrheim,192,19,2,4,9,0,0,0,0,6
5990,doi:10.4232/1.12971,1.0.1 (2018-01-24),2016,6,431010,1861,4,1,2011,0,Groß-Rohrheim,192,19,3,4,9,0,0,0,0,6
5990,doi:10.4232/1.12972,1.0.1 (2018-01-24),2016,6,431013,,4,1,2011,0,Lampertheim,,45,11,14,19,5,7,0,0,0
5990,doi:10.4232/1.12975,1.0.1 (2018-01-24),2016,6,431017,,4,1,2011,0,Mörlenbach,,31,4,13,8,3,2,0,0,5
5990,doi:10.4232/1.12976,1.0.1 (2018-01-24),2011,6,432001,1863,4,1,2006,0,Alsbach-Hähnlein,591,31,9,9,8,0,0,0,0,14
5990,doi:10.4232/1.12977,1.0.1 (2018-01-24),2016,6,432001,1863,4,1,2011,0,Alsbach-Hähnlein,591,31,10,10,7,0,0,0,0,14
5990,doi:10.4232/1.12978,1.0.1 (2018-01-24),2016,6,432002,,4,1,2011,0,Babenhausen,,37,14,13,12,3,3,0,0,6
5990,doi:10.4232/1.12979,1.0.1 (2018-01-24),2011,6,432006,1864,4,1,2006,0,Erzhausen,949,25,6,6,10,6,0,0,0,3
5990,doi:10.4232/1.12980,1.0.1 (2018-01-24),2016,6,432006,1864,4,1,2011,0,Erzhausen,949,25,7,5,8,3,0,0,0,9
5990,doi:10.4232/1.12981,1.0.1 (2018-01-24),2011,6,432007,1865,4,1,2006,0,Fischbachtal,202,15,3,4,6,2,0,0,0,3
5990,doi:10.4232/1.12982,1.0.1 (2018-01-24),2016,6,432007,1865,4,1,2011,0,Fischbachtal,202,15,4,3,6,2,0,0,0,4
5990,doi:10.4232/1.12983,1.0.1 (2018-01-24),2011,6,432009,1866,4,1,2006,0,Groß-Bieberau,249,23,4,7,8,2,1,0,0,5
5990,doi:10.4232/1.12984,1.0.1 (2018-01-24),2016,6,432009,1866,4,1,2011,0,Groß-Bieberau,249,23,4,7,8,0,2,0,0,6
5990,doi:10.4232/1.12985,1.0.1 (2018-01-24),2016,6,432011,,4,1,2011,0,Groß-Zimmern,,31,9,13,9,4,2,0,0,3
5990,doi:10.4232/1.12986,1.0.1 (2018-01-24),2016,6,432022,,4,1,2011,0,Seeheim-Jugenheim,,37,8,11,10,11,5,0,0,0
5990,doi:10.4232/1.12989,1.0.1 (2018-01-24),2016,6,433005,,4,1,2011,0,Ginsheim-Gustavsburg,,37,9,9,13,3,1,0,0,11
5990,doi:10.4232/1.12990,1.0.1 (2018-01-24),2016,6,433008,,4,1,2011,0,Mörfelden-Walldorf,,45,12,9,12,5,3,0,2,10
5990,doi:10.4232/1.12992,1.0.1 (2018-01-24),2016,6,434002,,4,1,2011,0,Friedrichsdorf,,37,13,9,5,8,4,1,0,10
5990,doi:10.4232/1.12993,1.0.1 (2018-01-24),2016,6,434005,,4,1,2011,0,Königstein im Taunus,,37,13,12,3,3,6,0,13,0
5990,doi:10.4232/1.12994,1.0.1 (2018-01-24),2016,6,435002,,4,1,2011,0,Bad Soden-Salmünster,,37,3,14,10,0,1,0,0,12
5990,doi:10.4232/1.12995,1.0.1 (2018-01-24),2011,6,435008,1868,4,1,2006,0,Flörsbachtal,50,15,2,0,5,0,0,0,0,10
5990,doi:10.4232/1.12996,1.0.1 (2018-01-24),2016,6,435008,1868,4,1,2011,0,Flörsbachtal,50,15,4,0,7,0,0,0,0,8
5990,doi:10.4232/1.12997,1.0.1 (2018-01-24),2016,6,435010,,4,1,2011,0,Gelnhausen,,37,11,8,17,3,3,0,0,6
5990,doi:10.4232/1.12998,1.0.1 (2018-01-24),2016,6,435012,,4,1,2011,0,Gründau,,37,5,13,13,0,0,0,0,11
5990,doi:10.4232/1.12999,1.0.1 (2018-01-24),2011,6,435015,1869,4,1,2006,0,Hasselroth,395,27,7,9,13,0,1,1,0,3
5990,doi:10.4232/1.13000,1.0.1 (2018-01-24),2016,6,435015,1869,4,1,2011,0,Hasselroth,395,27,7,7,12,0,3,0,0,5
5990,doi:10.4232/1.13002,1.0.1 (2018-01-24),2016,6,435026,,4,1,2011,0,Schöneck,,37,14,9,11,4,4,0,5,4
5990,doi:10.4232/1.13003,1.0.1 (2018-01-24),2011,6,435027,1870,4,1,2006,0,Sinntal,87,31,6,11,13,0,0,0,0,7
